Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
41,Despicable Me 2,970766005,368065385,602700620,2013.csv,2013,37.914943776796136,62.085056223203864
42,The Jungle Book,966550600,364001123,602549477,2016.csv,2016,37.65981036067848,62.34018963932152
43,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017,42.04603690023133,57.95396309976868
44,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,26.95907664711547,73.04092335288452
45,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,26.685617934092388,73.31438206590761
46,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,23.950288546929155,76.04971145307084
47,Spectre,880674609,200074609,680600000,2015.csv,2015,22.718335121207065,77.28166487879294
48,Spider-Man: Homecoming,880166924,334201140,545965784,2017.csv,2017,37.9701998435924,62.0298001564076
49,Ice Age: Continental Drift,877244782,161321843,715922939,2012.csv,2012,18.389604168657225,81.61039583134277
50,The Secret Life of Pets,875457937,368384330,507073607,2016.csv,2016,42.07904394154804,57.92095605845196
51,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016.csv,2016,37.81444477724682,62.18555522275317
52,Wolf Warrior 2,870325439,2721100,867604339,2017.csv,2017,0.3126531614572282,99.68734683854277
53,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013.csv,2013,49.0939052520103,50.90609474798969
54,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017.csv,2017,45.12999944240043,54.87000055759956
55,Inside Out,857611174,356461711,501149463,2015.csv,2015,41.56449004009829,58.43550995990171
56,Venom,856085151,213515506,642569645,2018.csv,2018,24.94091922405041,75.05908077594958
57,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017,36.893059475225336,63.10694052477467
58,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,2012.csv,2012,35.23059443602327,64.76940556397673
59,Inception,826137188,292576195,533560993,2010.csv,2010,35.41496488111125,64.58503511888875
60,Wonder Woman,821847012,412563408,409283604,2017.csv,2017,50.199538597336904,49.8004614026631
61,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,2016.csv,2016,28.750217703402697,71.2497822965973
62,Coco,807816196,210460015,597356181,2017.csv,2017,26.052958091471588,73.9470419085284
63,Jumanji: The Next Level,800059707,320314960,479744747,2019.csv,2019,40.03638193467978,59.96361806532021
64,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,2017.csv,2017,21.709293024593403,78.2907069754066
65,Mission: Impossible - Fallout,791115104,220159104,570956000,2018.csv,2018,27.828959766643514,72.17104023335649
66,Fast & Furious 6,788679850,238679850,550000000,2013.csv,2013,30.263211365169273,69.73678863483073
67,Deadpool,782612155,363070709,419541446,2016.csv,2016,46.392163305973696,53.607836694026304
68,Guardians of the Galaxy,772776600,333176600,439600000,2014.csv,2014,43.11421955581988,56.885780444180114
69,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,2019.csv,2019,22.917508157671993,77.08249184232801
70,Maleficent,758410378,241410378,517000000,2014.csv,2014,31.831101604466706,68.16889839553329
71,The Amazing Spider-Man,757930663,262030663,495900000,2012.csv,2012,34.57185146235467,65.42814853764533
72,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,2014.csv,2014,44.632672231596814,55.367327768403186
73,Shrek Forever After,752600867,238736787,513864080,2010.csv,2010,31.721566831519475,68.27843316848052
74,Madagascar 3: Europe's Most Wanted,746921274,216391482,530529792,2012.csv,2012,28.971123133386612,71.02887686661339
75,Suicide Squad,746846894,325100054,421746840,2016.csv,2016,43.52967878848808,56.47032121151193
76,X-Men: Days of Future Past,746045700,233921534,512124166,2014.csv,2014,31.35485319465014,68.64514680534985
77,Monsters University,743559607,268492764,475066843,2013.csv,2013,36.10911102114238,63.89088897885762
78,Deadpool 2,734546611,318491426,416055185,2018.csv,2018,43.35891299891927,56.64108700108073
79,Ne Zha,726063471,3695533,722367938,2019.csv,2019,0.5089820859476899,99.49101791405232
80,Gravity,723192705,274092705,449100000,2013.csv,2013,37.90036916923823,62.09963083076177
81,Captain America: The Winter Soldier,714421503,259766572,454654931,2014.csv,2014,36.360407813760894,63.63959218623911
82,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,430918723,2011.csv,2011,39.4952008089077,60.5047991910923
83,Dawn of the Planet of the Apes,710644566,208545589,502098977,2014.csv,2014,29.345976734028806,70.65402326597119
84,The Amazing Spider-Man 2,708982323,202853933,506128390,2014.csv,2014,28.611987410580337,71.38801258941967
85,It,700381748,327481748,372900000,2017.csv,2017,46.757607395559944,53.242392604440056
86,The Wandering Earth,699856699,5971413,693885286,2019.csv,2019,0.8532336703402763,99.14676632965971
87,The Twilight Saga: Eclipse,698491347,300531751,397959596,2010.csv,2010,43.02583736946422,56.97416263053579
88,Mission: Impossible - Ghost Protocol,694713380,209397903,485315477,2011.csv,2011,30.141625169217267,69.85837483078274
89,The Hunger Games,694394724,408010692,286384032,2012.csv,2012,58.757746552233314,41.24225344776669
90,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,2015.csv,2015,28.56866868434727,71.43133131565274
91,Interstellar,677896797,188020017,489876780,2014.csv,2014,27.735787782457983,72.26421221754201
92,Doctor Strange,677718395,232641920,445076475,2016.csv,2016,34.32722524817996,65.67277475182004
93,Man of Steel,668045518,291045518,377000000,2013.csv,2013,43.56671965577052,56.43328034422947
94,Kung Fu Panda 2,665692281,165249063,500443218,2011.csv,2011,24.823641150196842,75.17635884980317
95,The Hunger Games: Mockingjay - Part 2,658344137,281723902,376620235,2015.csv,2015,42.792801844303504,57.207198155696496
96,Justice League,657924295,229024295,428900000,2017.csv,2017,34.81012887660578,65.18987112339421
97,Big Hero 6,657827828,222527828,435300000,2014.csv,2014,33.827670178769026,66.17232982123097
98,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,2018.csv,2018,24.365039813545177,75.63496018645482
99,Thor: The Dark World,644783140,206362140,438421000,2013.csv,2013,32.004890822672564,67.99510917732744
100,Moana,643331111,248757044,394574067,2016.csv,2016,38.667031602642325,61.33296839735767
101,Sing,634151679,270395425,363756254,2016.csv,2016,42.63891967082532,57.36108032917468
